,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,50.38,50.1,15.74,15.69,5.71,5.68,2.49,2.46,1.25,1.22,0.69,0.68,0.42,0.4,0.27,0.26,0.18,0.17,0.13,0.12,0.09,0.09,0.07,0.07,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,50.23,49.93,21.88,21.71,10.01,9.92,5.07,5.06,2.83,2.81,1.69,1.69,1.08,1.07,0.72,0.72,0.5,0.49,0.36,0.35,0.27,0.26,0.2,0.2,0.16,0.15,0.12,0.12,0.1,0.1,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,50.21,49.88,25.5,25.25,13.15,12.96,7.26,7.18,4.27,4.26,2.68,2.69,1.77,1.78,1.21,1.21,0.87,0.86,0.64,0.62,0.48,0.47,0.37,0.36,0.29,0.28,0.23,0.22,0.18,0.18,0.15,0.14,0.12,0.12,0.1,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4m TTC,50.19,49.87,28.02,27.72,15.6,15.34,9.1,8.96,5.6,5.54,3.64,3.61,2.46,2.46,1.73,1.73,1.25,1.25,0.93,0.93,0.71,0.7,0.55,0.54,0.43,0.42,0.35,0.34,0.28,0.27,0.23,0.22,0.19,0.18,0.16,0.15,0.13,0.13,0.11,0.11,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5m TTC,50.18,49.86,29.9,29.54,17.6,17.26,10.7,10.5,6.8,6.69,4.53,4.49,3.13,3.11,2.24,2.23,1.64,1.64,1.24,1.23,0.95,0.95,0.74,0.74,0.59,0.59,0.47,0.47,0.38,0.38,0.32,0.31,0.26,0.26,0.22,0.22,0.18,0.18,0.15,0.15,0.13,0.13,0.11,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
6m TTC,50.19,49.84,31.38,30.99,19.28,18.9,12.14,11.88,7.92,7.79,5.37,5.32,3.79,3.74,2.74,2.72,2.03,2.02,1.54,1.54,1.19,1.19,0.93,0.94,0.75,0.75,0.6,0.61,0.49,0.5,0.41,0.41,0.34,0.34,0.29,0.28,0.24,0.24,0.21,0.2,0.17,0.17,0.15,0.15,0.13,0.13,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
7m TTC,50.2,49.82,32.58,32.15,20.74,20.29,13.43,13.09,8.94,8.77,6.17,6.08,4.4,4.35,3.22,3.2,2.41,2.4,1.85,1.84,1.44,1.44,1.14,1.14,0.92,0.92,0.75,0.75,0.61,0.61,0.51,0.51,0.42,0.42,0.36,0.36,0.3,0.3,0.26,0.26,0.22,0.22,0.19,0.19,0.16,0.16,0.14,0.14,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02
8m TTC,50.23,49.79,33.54,33.1,21.97,21.47,14.57,14.17,9.89,9.67,6.9,6.79,4.98,4.91,3.69,3.65,2.79,2.77,2.14,2.14,1.68,1.68,1.34,1.35,1.08,1.08,0.88,0.89,0.73,0.73,0.61,0.61,0.51,0.51,0.43,0.43,0.37,0.37,0.31,0.31,0.27,0.27,0.23,0.23,0.2,0.2,0.17,0.17,0.15,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03
9m TTC,50.22,49.8,34.36,33.9,23.05,22.53,15.59,15.16,10.78,10.47,7.61,7.45,5.55,5.45,4.13,4.09,3.14,3.13,2.44,2.44,1.93,1.93,1.54,1.54,1.25,1.25,1.03,1.03,0.85,0.85,0.71,0.71,0.6,0.6,0.51,0.51,0.43,0.44,0.37,0.37,0.32,0.32,0.28,0.28,0.24,0.24,0.21,0.21,0.18,0.18,0.16,0.16,0.14,0.14,0.13,0.13,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.05,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04
10m TTC,50.2,49.81,35.11,34.59,24.0,23.44,16.5,16.05,11.55,11.22,8.29,8.07,6.08,5.96,4.57,4.5,3.51,3.47,2.74,2.73,2.17,2.17,1.74,1.75,1.42,1.42,1.17,1.17,0.98,0.97,0.82,0.81,0.69,0.69,0.58,0.59,0.5,0.51,0.43,0.43,0.37,0.37,0.32,0.32,0.28,0.28,0.25,0.25,0.22,0.21,0.19,0.19,0.17,0.17,0.15,0.15,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.06,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.05,0.04,0.04
