,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,48.93,51.24,19.35,19.87,7.26,6.66,3.02,2.43,1.36,0.94,0.78,0.44,0.44,0.23,0.27,0.12,0.16,0.07,0.09,0.05,0.05,0.03,0.04,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,48.4,51.66,25.44,27.49,12.76,12.96,6.45,6.03,3.5,2.94,2.07,1.58,1.26,0.9,0.81,0.55,0.53,0.34,0.35,0.21,0.25,0.14,0.14,0.08,0.11,0.06,0.07,0.05,0.06,0.04,0.05,0.03,0.04,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,48.66,51.36,28.82,30.82,16.4,17.11,9.41,9.15,5.48,5.08,3.44,2.83,2.2,1.67,1.47,0.98,1.02,0.66,0.72,0.45,0.5,0.3,0.39,0.22,0.29,0.15,0.21,0.11,0.15,0.1,0.12,0.07,0.1,0.05,0.08,0.05,0.06,0.04,0.05,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,48.54,51.5,31.15,33.56,18.9,20.24,11.66,11.78,7.39,6.84,4.72,4.04,3.18,2.64,2.24,1.75,1.55,1.14,1.14,0.72,0.8,0.51,0.61,0.36,0.45,0.28,0.36,0.22,0.28,0.16,0.22,0.12,0.16,0.1,0.14,0.09,0.11,0.07,0.1,0.06,0.08,0.05,0.07,0.04,0.06,0.03,0.05,0.03,0.05,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5m TTC,48.69,51.33,32.63,35.1,21.08,22.21,13.52,13.83,8.89,8.52,5.85,5.31,4.13,3.36,2.93,2.32,2.13,1.55,1.59,1.11,1.22,0.8,0.93,0.56,0.71,0.42,0.54,0.33,0.4,0.26,0.31,0.21,0.25,0.17,0.2,0.15,0.15,0.12,0.12,0.1,0.11,0.08,0.09,0.07,0.08,0.06,0.07,0.06,0.07,0.04,0.06,0.04,0.05,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6m TTC,48.24,51.77,34.0,36.75,22.77,24.36,15.12,15.68,10.17,10.08,6.92,6.49,4.92,4.28,3.56,2.89,2.66,1.96,2.02,1.37,1.59,1.01,1.26,0.74,0.94,0.57,0.76,0.44,0.6,0.33,0.48,0.27,0.38,0.23,0.31,0.18,0.25,0.16,0.21,0.12,0.17,0.11,0.14,0.09,0.12,0.08,0.1,0.07,0.09,0.06,0.08,0.05,0.07,0.05,0.07,0.04,0.06,0.04,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01
7m TTC,48.16,51.85,34.77,37.94,24.27,26.11,16.43,17.39,11.29,11.47,7.89,7.67,5.74,5.14,4.2,3.53,3.2,2.44,2.45,1.82,1.9,1.33,1.51,0.97,1.18,0.76,0.94,0.6,0.74,0.48,0.61,0.39,0.49,0.32,0.4,0.26,0.32,0.22,0.28,0.19,0.24,0.16,0.2,0.14,0.17,0.13,0.15,0.11,0.13,0.09,0.11,0.07,0.09,0.06,0.08,0.05,0.06,0.04,0.06,0.04,0.06,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01
8m TTC,48.23,51.78,35.71,38.79,25.41,27.42,17.69,18.76,12.34,12.76,8.78,8.71,6.56,5.92,4.9,4.1,3.79,2.92,2.89,2.19,2.24,1.6,1.74,1.19,1.38,0.95,1.13,0.73,0.91,0.58,0.76,0.47,0.63,0.41,0.52,0.34,0.44,0.28,0.36,0.24,0.3,0.22,0.26,0.19,0.23,0.16,0.21,0.14,0.16,0.11,0.15,0.09,0.12,0.08,0.09,0.08,0.08,0.07,0.07,0.06,0.07,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.03
9m TTC,48.15,51.85,36.02,39.29,26.26,28.33,18.73,20.07,13.44,13.87,9.8,9.54,7.37,6.68,5.64,4.71,4.24,3.38,3.35,2.52,2.59,1.91,2.06,1.4,1.64,1.07,1.34,0.85,1.09,0.68,0.89,0.56,0.72,0.47,0.59,0.38,0.5,0.32,0.42,0.28,0.36,0.24,0.3,0.21,0.26,0.19,0.21,0.16,0.18,0.14,0.17,0.13,0.16,0.11,0.14,0.1,0.11,0.07,0.09,0.07,0.07,0.05,0.07,0.05,0.06,0.04,0.06,0.04,0.05,0.03,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02
10m TTC,48.29,51.73,36.84,39.67,27.22,29.28,19.74,21.2,14.4,14.84,10.62,10.35,7.94,7.35,6.04,5.27,4.77,3.88,3.72,2.9,2.96,2.22,2.38,1.66,1.9,1.3,1.56,1.03,1.27,0.81,1.03,0.66,0.86,0.57,0.73,0.46,0.58,0.39,0.48,0.33,0.42,0.27,0.35,0.23,0.31,0.2,0.28,0.17,0.23,0.16,0.21,0.14,0.18,0.12,0.16,0.1,0.14,0.09,0.12,0.08,0.1,0.07,0.09,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.04
11m TTC,48.26,51.75,37.15,40.6,27.81,30.33,20.66,22.15,15.25,15.75,11.47,11.16,8.75,7.95,6.69,5.82,5.26,4.32,4.18,3.31,3.32,2.51,2.71,1.9,2.15,1.52,1.76,1.15,1.41,0.94,1.23,0.8,1.0,0.65,0.83,0.57,0.7,0.5,0.59,0.41,0.52,0.35,0.46,0.29,0.37,0.25,0.32,0.2,0.29,0.19,0.25,0.16,0.22,0.14,0.18,0.13,0.15,0.11,0.14,0.11,0.12,0.09,0.12,0.08,0.1,0.07,0.09,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03
12m TTC,48.13,51.88,37.57,40.97,28.63,31.03,21.26,23.01,15.96,16.69,12.07,11.89,9.2,8.59,7.19,6.32,5.65,4.76,4.38,3.58,3.51,2.77,2.9,2.12,2.44,1.69,2.03,1.34,1.68,1.09,1.43,0.9,1.19,0.74,0.98,0.6,0.85,0.52,0.72,0.46,0.64,0.4,0.58,0.34,0.49,0.29,0.4,0.25,0.34,0.22,0.31,0.2,0.27,0.17,0.23,0.15,0.19,0.13,0.17,0.12,0.15,0.11,0.14,0.09,0.13,0.08,0.11,0.07,0.08,0.06,0.07,0.05,0.06,0.05,0.05,0.04,0.05,0.03,0.04,0.03
13m TTC,48.12,51.89,38.01,41.42,29.14,31.96,22.15,23.94,16.87,17.55,12.85,12.57,9.94,9.19,7.81,6.84,6.13,5.16,4.8,3.91,3.89,3.08,3.22,2.39,2.65,1.92,2.2,1.54,1.88,1.21,1.59,1.02,1.33,0.87,1.11,0.73,0.92,0.63,0.81,0.53,0.68,0.45,0.59,0.39,0.52,0.35,0.47,0.3,0.4,0.27,0.36,0.23,0.31,0.2,0.25,0.18,0.22,0.16,0.2,0.15,0.18,0.13,0.17,0.12,0.15,0.1,0.13,0.09,0.11,0.06,0.1,0.06,0.07,0.05,0.06,0.04,0.06,0.04,0.05,0.03
14m TTC,47.98,52.03,38.17,41.81,29.73,32.53,22.9,24.43,17.37,18.07,13.43,13.36,10.42,9.7,8.19,7.33,6.55,5.55,5.21,4.27,4.21,3.3,3.49,2.64,2.86,2.11,2.44,1.7,2.06,1.38,1.76,1.11,1.49,0.93,1.26,0.79,1.09,0.66,0.96,0.6,0.79,0.5,0.68,0.44,0.62,0.39,0.52,0.35,0.46,0.29,0.4,0.27,0.35,0.23,0.3,0.21,0.27,0.19,0.25,0.16,0.22,0.14,0.2,0.11,0.18,0.1,0.16,0.09,0.14,0.08,0.12,0.06,0.1,0.06,0.09,0.05,0.07,0.05,0.06,0.04
15m TTC,48.04,51.97,38.69,41.9,30.05,33.08,23.31,24.92,17.91,18.64,13.96,13.88,10.78,10.38,8.7,7.73,6.91,5.96,5.56,4.62,4.55,3.6,3.76,2.83,3.14,2.27,2.6,1.86,2.24,1.51,1.89,1.25,1.6,1.03,1.37,0.83,1.19,0.72,1.03,0.63,0.9,0.53,0.8,0.47,0.69,0.42,0.6,0.37,0.54,0.32,0.47,0.3,0.43,0.26,0.38,0.23,0.33,0.21,0.29,0.19,0.25,0.16,0.22,0.14,0.21,0.13,0.19,0.11,0.14,0.08,0.11,0.07,0.1,0.06,0.1,0.05,0.08,0.05,0.07,0.04
16m TTC,48.13,51.87,38.56,42.18,30.64,33.37,23.82,25.65,18.5,19.41,14.47,14.55,11.31,10.98,9.05,8.32,7.34,6.45,5.99,4.94,4.82,3.91,4.01,3.09,3.34,2.51,2.83,2.04,2.4,1.68,2.02,1.4,1.72,1.18,1.48,1.01,1.33,0.83,1.15,0.69,0.99,0.6,0.88,0.51,0.78,0.45,0.7,0.39,0.62,0.35,0.53,0.31,0.47,0.26,0.41,0.24,0.37,0.22,0.34,0.18,0.31,0.17,0.28,0.15,0.25,0.14,0.21,0.12,0.16,0.1,0.14,0.08,0.13,0.08,0.1,0.08,0.09,0.07,0.08,0.07
17m TTC,48.08,51.92,38.94,42.53,30.9,33.95,24.17,26.29,18.97,20.1,14.9,15.28,11.75,11.6,9.3,8.87,7.57,6.72,6.23,5.31,5.17,4.2,4.27,3.31,3.58,2.69,3.01,2.22,2.54,1.81,2.15,1.55,1.83,1.29,1.58,1.09,1.39,0.91,1.2,0.77,1.02,0.68,0.9,0.57,0.79,0.5,0.69,0.44,0.61,0.38,0.54,0.34,0.5,0.31,0.45,0.28,0.41,0.24,0.36,0.22,0.33,0.19,0.3,0.17,0.26,0.15,0.23,0.15,0.2,0.12,0.17,0.11,0.14,0.1,0.13,0.09,0.12,0.09,0.11,0.08
18m TTC,48.17,51.84,39.23,42.81,31.46,34.22,24.88,26.7,19.56,20.63,15.42,15.76,12.18,12.08,9.78,9.27,7.85,7.17,6.45,5.65,5.29,4.48,4.42,3.64,3.69,2.89,3.12,2.38,2.63,2.03,2.32,1.69,1.98,1.41,1.71,1.19,1.48,1.01,1.3,0.89,1.16,0.74,1.01,0.65,0.87,0.54,0.77,0.49,0.69,0.41,0.62,0.37,0.55,0.33,0.5,0.3,0.43,0.27,0.38,0.24,0.33,0.21,0.3,0.19,0.27,0.17,0.25,0.16,0.19,0.13,0.18,0.12,0.16,0.11,0.15,0.1,0.13,0.09,0.12,0.08
