,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,50.46,50.21,20.77,20.7,8.92,8.89,4.28,4.27,2.3,2.29,1.35,1.32,0.84,0.82,0.55,0.54,0.38,0.37,0.27,0.26,0.2,0.19,0.15,0.14,0.11,0.11,0.09,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,50.38,50.0,26.94,26.73,14.32,14.22,8.02,8.0,4.78,4.79,3.02,3.03,2.0,2.0,1.38,1.38,0.98,0.98,0.72,0.72,0.54,0.54,0.41,0.42,0.32,0.33,0.26,0.26,0.21,0.21,0.17,0.17,0.14,0.14,0.11,0.12,0.1,0.1,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3m TTC,50.33,49.94,30.32,30.02,17.93,17.72,10.9,10.82,6.93,6.89,4.6,4.58,3.16,3.15,2.24,2.23,1.63,1.63,1.22,1.22,0.93,0.93,0.73,0.73,0.57,0.58,0.46,0.47,0.37,0.38,0.31,0.31,0.25,0.26,0.21,0.22,0.18,0.18,0.15,0.16,0.13,0.14,0.11,0.12,0.1,0.1,0.08,0.09,0.07,0.08,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
4m TTC,50.35,49.88,32.59,32.21,20.59,20.33,13.22,13.07,8.77,8.69,6.01,5.98,4.25,4.24,3.08,3.08,2.29,2.29,1.74,1.74,1.34,1.35,1.05,1.07,0.84,0.85,0.68,0.69,0.56,0.57,0.46,0.47,0.38,0.39,0.32,0.33,0.27,0.28,0.23,0.24,0.2,0.21,0.17,0.18,0.15,0.16,0.13,0.14,0.12,0.12,0.1,0.11,0.09,0.1,0.08,0.09,0.07,0.08,0.06,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03
5m TTC,50.34,49.85,34.24,33.79,22.68,22.32,15.14,14.94,10.36,10.25,7.29,7.22,5.26,5.24,3.89,3.87,2.94,2.94,2.26,2.28,1.77,1.78,1.41,1.42,1.13,1.15,0.91,0.93,0.75,0.77,0.63,0.64,0.52,0.53,0.44,0.45,0.38,0.39,0.32,0.34,0.28,0.29,0.24,0.25,0.21,0.22,0.18,0.19,0.16,0.17,0.14,0.15,0.13,0.13,0.11,0.12,0.1,0.11,0.09,0.1,0.08,0.09,0.07,0.08,0.07,0.07,0.06,0.07,0.05,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.04
6m TTC,50.36,49.81,35.53,35.03,24.43,24.02,16.8,16.55,11.82,11.65,8.49,8.39,6.22,6.19,4.67,4.66,3.56,3.58,2.77,2.79,2.19,2.2,1.76,1.77,1.42,1.44,1.16,1.18,0.96,0.98,0.8,0.82,0.68,0.69,0.57,0.58,0.49,0.5,0.42,0.43,0.36,0.38,0.32,0.33,0.28,0.29,0.24,0.26,0.21,0.23,0.19,0.2,0.17,0.17,0.15,0.16,0.13,0.14,0.12,0.13,0.11,0.12,0.1,0.1,0.09,0.09,0.08,0.09,0.07,0.07,0.06,0.07,0.05,0.06,0.05,0.06,0.05,0.05,0.04,0.05
7m TTC,50.39,49.77,36.61,35.97,25.88,25.39,18.27,17.95,13.11,12.9,9.56,9.45,7.11,7.07,5.41,5.39,4.16,4.19,3.27,3.29,2.6,2.63,2.1,2.13,1.71,1.74,1.41,1.42,1.17,1.19,0.98,1.0,0.83,0.85,0.7,0.72,0.61,0.62,0.52,0.54,0.45,0.47,0.39,0.41,0.34,0.36,0.3,0.32,0.27,0.28,0.24,0.25,0.21,0.22,0.19,0.2,0.17,0.18,0.15,0.16,0.13,0.15,0.12,0.13,0.11,0.12,0.1,0.11,0.08,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.06,0.06,0.05,0.06
8m TTC,50.44,49.71,37.38,36.74,27.08,26.51,19.55,19.14,14.25,13.98,10.54,10.4,7.95,7.88,6.09,6.08,4.75,4.76,3.76,3.77,3.01,3.03,2.44,2.47,2.0,2.02,1.65,1.68,1.38,1.41,1.16,1.19,0.99,1.01,0.84,0.86,0.72,0.74,0.63,0.65,0.54,0.57,0.48,0.5,0.42,0.44,0.36,0.39,0.32,0.34,0.29,0.31,0.26,0.27,0.23,0.25,0.21,0.22,0.18,0.2,0.16,0.18,0.15,0.16,0.13,0.15,0.12,0.13,0.1,0.11,0.09,0.1,0.09,0.09,0.08,0.09,0.07,0.08,0.07,0.07
9m TTC,50.45,49.69,38.09,37.41,28.12,27.5,20.64,20.17,15.29,14.98,11.46,11.27,8.73,8.64,6.74,6.73,5.3,5.3,4.21,4.24,3.41,3.44,2.77,2.81,2.29,2.32,1.9,1.94,1.59,1.63,1.34,1.38,1.15,1.18,0.98,1.01,0.85,0.87,0.73,0.76,0.64,0.66,0.56,0.58,0.49,0.51,0.43,0.45,0.38,0.4,0.34,0.36,0.3,0.32,0.27,0.29,0.24,0.26,0.22,0.24,0.2,0.21,0.18,0.19,0.16,0.18,0.15,0.16,0.12,0.13,0.11,0.12,0.1,0.11,0.1,0.1,0.09,0.1,0.08,0.09
10m TTC,50.45,49.68,38.68,37.93,28.99,28.34,21.64,21.09,16.21,15.87,12.3,12.08,9.46,9.33,7.38,7.33,5.83,5.83,4.67,4.68,3.8,3.82,3.1,3.13,2.57,2.61,2.15,2.18,1.8,1.84,1.53,1.57,1.31,1.34,1.12,1.15,0.97,1.0,0.84,0.87,0.74,0.77,0.65,0.67,0.57,0.59,0.5,0.53,0.45,0.47,0.4,0.42,0.35,0.38,0.32,0.34,0.29,0.3,0.26,0.27,0.23,0.25,0.21,0.23,0.19,0.21,0.17,0.19,0.14,0.16,0.13,0.14,0.12,0.13,0.11,0.12,0.1,0.11,0.1,0.1
