,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,1.29,2.13,0.12,0.27,0.02,0.06,0.0,0.04,0.0,0.03
2m TTC,3.81,5.04,0.41,0.82,0.07,0.22,0.02,0.11,0.01,0.06
3m TTC,6.21,7.2,0.88,1.53,0.18,0.44,0.06,0.2,0.02,0.08
4m TTC,8.4,9.2,1.28,2.21,0.34,0.77,0.1,0.38,0.04,0.23
5m TTC,10.36,11.02,1.94,2.88,0.48,1.07,0.17,0.46,0.08,0.25
6m TTC,12.19,12.41,2.49,3.53,0.75,1.34,0.24,0.62,0.12,0.35
7m TTC,13.58,13.6,2.93,4.13,0.93,1.75,0.32,0.81,0.14,0.43
8m TTC,14.73,14.55,3.52,4.78,1.13,1.82,0.42,0.93,0.18,0.5
9m TTC,15.98,15.54,4.06,5.3,1.29,2.3,0.49,0.99,0.22,0.58
10m TTC,17.09,16.32,4.58,5.78,1.48,2.56,0.65,1.26,0.26,0.66
11m TTC,18.02,17.28,5.17,6.46,1.72,2.81,0.73,1.43,0.34,0.75
12m TTC,19.15,18.15,5.73,7.1,1.91,3.14,0.82,1.72,0.39,0.95
13m TTC,19.86,19.01,6.25,7.74,2.18,3.64,0.95,1.88,0.5,1.11
14m TTC,20.66,19.86,6.7,8.18,2.47,3.79,1.04,2.03,0.58,1.13
15m TTC,21.38,20.83,7.18,8.82,2.72,4.17,1.22,2.15,0.61,1.25
