,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,53.03,47.26,34.86,30.41,18.86,17.9,9.36,10.73,4.77,6.6,2.48,3.91,1.37,2.53,0.82,1.61,0.52,1.09,0.34,0.69,0.23,0.53,0.16,0.39,0.06,0.3,0.05,0.21,0.05,0.17,0.03,0.15,0.01,0.13,0.0,0.08,0.0,0.08,0.0,0.07,0.0,0.06,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,53.69,46.42,39.72,33.71,26.6,23.77,16.36,16.24,9.96,11.15,6.22,7.8,3.85,5.48,2.55,3.94,1.67,2.75,1.2,2.03,0.84,1.6,0.66,1.32,0.48,1.03,0.35,0.83,0.28,0.65,0.21,0.51,0.15,0.42,0.09,0.37,0.07,0.32,0.04,0.29,0.03,0.27,0.03,0.24,0.02,0.21,0.02,0.18,0.01,0.15,0.01,0.11,0.01,0.1,0.01,0.09,0.01,0.08,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.04,0.0,0.04,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
3m TTC,53.28,46.86,41.5,35.96,30.47,26.78,21.2,19.86,14.65,14.64,9.99,10.23,6.78,7.51,4.47,5.6,2.92,4.15,2.03,3.31,1.52,2.59,1.23,2.13,0.87,1.68,0.65,1.33,0.51,1.13,0.4,0.91,0.32,0.79,0.25,0.61,0.17,0.51,0.14,0.43,0.11,0.36,0.09,0.34,0.06,0.34,0.05,0.25,0.05,0.23,0.04,0.2,0.04,0.19,0.04,0.19,0.04,0.15,0.0,0.14,0.0,0.14,0.0,0.13,0.0,0.12,0.0,0.11,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.07
4m TTC,52.95,47.14,43.34,37.21,32.93,28.59,24.5,21.85,17.79,16.3,12.65,12.45,8.96,9.45,6.43,7.19,4.62,5.58,3.46,4.4,2.54,3.58,1.93,2.87,1.49,2.27,1.21,1.9,0.93,1.52,0.74,1.26,0.6,1.06,0.52,0.9,0.36,0.82,0.31,0.73,0.26,0.63,0.17,0.55,0.16,0.47,0.11,0.42,0.11,0.35,0.08,0.29,0.07,0.27,0.06,0.25,0.05,0.21,0.04,0.17,0.04,0.16,0.02,0.16,0.02,0.12,0.02,0.12,0.01,0.08,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.05
5m TTC,53.64,46.44,44.14,37.91,34.86,30.06,26.72,23.2,20.12,18.35,15.38,14.27,11.3,11.23,8.34,8.7,6.15,7.05,4.69,5.59,3.56,4.32,2.72,3.63,2.16,3.07,1.63,2.54,1.29,2.09,1.06,1.75,0.96,1.51,0.77,1.32,0.64,1.12,0.45,0.94,0.37,0.75,0.31,0.69,0.24,0.62,0.2,0.53,0.15,0.47,0.12,0.4,0.11,0.38,0.1,0.33,0.08,0.29,0.06,0.25,0.06,0.22,0.05,0.2,0.05,0.19,0.02,0.18,0.02,0.17,0.01,0.15,0.01,0.14,0.01,0.14,0.01,0.12,0.0,0.12
6m TTC,54.2,45.96,45.21,38.01,36.71,30.58,28.77,24.37,22.39,19.45,16.86,15.66,13.01,12.71,10.0,10.17,7.66,8.05,5.83,6.73,4.34,5.31,3.3,4.35,2.5,3.57,2.05,3.0,1.61,2.46,1.31,2.04,1.05,1.79,0.89,1.54,0.72,1.37,0.62,1.14,0.55,1.01,0.46,0.88,0.36,0.79,0.34,0.71,0.31,0.61,0.24,0.53,0.22,0.5,0.17,0.48,0.15,0.44,0.13,0.42,0.08,0.38,0.06,0.3,0.06,0.28,0.06,0.24,0.05,0.19,0.04,0.19,0.04,0.18,0.04,0.16,0.04,0.12,0.03,0.1
7m TTC,53.81,46.23,45.78,38.37,38.33,31.53,30.88,25.7,24.12,20.98,18.76,16.82,14.54,13.9,11.13,11.27,8.46,9.12,6.61,7.67,5.38,6.2,4.1,5.29,3.26,4.39,2.61,3.64,2.04,3.12,1.63,2.66,1.3,2.23,1.13,1.93,0.92,1.67,0.81,1.46,0.7,1.27,0.62,1.11,0.49,1.01,0.4,0.87,0.37,0.78,0.31,0.7,0.26,0.6,0.2,0.55,0.18,0.49,0.16,0.43,0.14,0.38,0.12,0.36,0.11,0.31,0.08,0.27,0.07,0.26,0.06,0.25,0.06,0.24,0.06,0.2,0.06,0.18,0.04,0.17
8m TTC,53.84,46.25,46.23,39.29,38.93,32.59,32.17,27.08,25.93,22.06,20.67,18.08,16.06,14.75,12.5,12.3,9.74,9.93,7.64,8.41,6.1,7.06,4.9,5.96,3.84,4.99,2.96,4.45,2.5,3.67,1.99,3.05,1.61,2.48,1.37,2.16,1.17,1.95,1.05,1.71,0.87,1.49,0.75,1.27,0.67,1.14,0.58,1.04,0.47,0.95,0.41,0.82,0.35,0.75,0.31,0.69,0.27,0.57,0.25,0.54,0.21,0.52,0.17,0.43,0.15,0.4,0.13,0.38,0.11,0.27,0.08,0.25,0.06,0.23,0.06,0.2,0.05,0.19,0.04,0.14
9m TTC,54.06,46.01,46.37,39.37,39.39,32.95,32.91,27.82,26.8,23.09,21.44,19.19,17.41,16.14,13.79,13.57,10.9,11.25,8.8,9.45,6.8,7.82,5.62,6.56,4.47,5.59,3.58,4.79,2.95,4.07,2.32,3.51,1.94,3.08,1.71,2.65,1.42,2.29,1.21,2.03,1.0,1.7,0.89,1.48,0.76,1.29,0.66,1.15,0.62,1.02,0.57,0.91,0.51,0.77,0.44,0.74,0.4,0.66,0.36,0.61,0.35,0.57,0.32,0.54,0.28,0.49,0.22,0.48,0.17,0.3,0.16,0.28,0.15,0.27,0.14,0.23,0.11,0.16,0.1,0.15
10m TTC,53.98,46.1,47.27,39.26,39.99,33.78,33.73,28.51,27.78,24.16,22.96,20.57,18.64,17.3,14.74,14.38,11.61,12.03,9.55,10.31,7.73,8.68,6.08,7.42,4.92,6.29,4.1,5.45,3.33,4.71,2.72,4.11,2.33,3.4,1.99,2.94,1.65,2.59,1.4,2.23,1.26,1.87,1.05,1.62,0.85,1.43,0.75,1.22,0.67,1.11,0.59,1.01,0.55,0.96,0.49,0.88,0.44,0.76,0.36,0.65,0.33,0.64,0.3,0.61,0.26,0.53,0.23,0.48,0.19,0.4,0.19,0.37,0.17,0.34,0.15,0.28,0.13,0.24,0.13,0.23
11m TTC,53.97,46.06,47.64,40.09,40.73,34.5,34.8,29.09,28.79,24.64,24.0,21.13,19.66,17.92,16.06,15.31,12.93,12.93,10.5,10.96,8.57,9.37,7.0,8.08,5.5,6.83,4.45,5.81,3.73,5.06,3.06,4.35,2.56,3.83,2.22,3.23,1.91,2.84,1.61,2.51,1.36,2.16,1.17,2.04,1.08,1.77,0.91,1.58,0.8,1.39,0.72,1.25,0.64,1.16,0.58,1.0,0.49,0.9,0.43,0.78,0.39,0.73,0.37,0.64,0.34,0.57,0.3,0.52,0.23,0.42,0.21,0.38,0.2,0.37,0.16,0.33,0.14,0.29,0.14,0.28
12m TTC,53.92,46.17,48.05,40.02,41.95,34.75,35.7,29.84,29.98,25.5,25.32,21.99,20.76,18.93,17.12,15.93,14.06,13.56,11.46,11.64,9.11,10.07,7.45,8.61,5.98,7.49,4.86,6.49,4.01,5.67,3.36,5.09,2.86,4.24,2.33,3.58,1.93,3.12,1.67,2.69,1.5,2.37,1.3,2.18,1.14,1.96,1.01,1.79,0.91,1.65,0.78,1.43,0.68,1.24,0.61,1.12,0.57,1.01,0.51,0.89,0.47,0.78,0.43,0.7,0.39,0.61,0.34,0.54,0.3,0.41,0.28,0.4,0.25,0.36,0.25,0.36,0.22,0.35,0.21,0.34
13m TTC,54.31,45.73,48.22,40.27,41.9,35.11,36.37,30.36,31.27,26.04,26.13,22.48,21.46,19.53,17.59,16.74,14.29,14.26,11.54,12.22,9.56,10.6,7.94,9.31,6.23,7.89,5.13,6.84,4.35,6.1,3.69,5.39,3.1,4.74,2.64,4.19,2.18,3.65,1.89,3.22,1.61,2.75,1.38,2.5,1.24,2.21,1.07,1.95,0.97,1.77,0.86,1.58,0.79,1.36,0.69,1.19,0.65,1.03,0.63,0.93,0.57,0.88,0.49,0.79,0.44,0.75,0.4,0.72,0.28,0.59,0.28,0.53,0.27,0.5,0.24,0.41,0.22,0.39,0.21,0.37
14m TTC,54.44,45.63,48.89,40.28,42.97,35.21,37.03,30.71,32.06,26.39,27.2,23.09,22.82,20.03,18.99,17.23,15.4,14.69,12.61,12.91,10.26,11.17,8.49,9.63,6.98,8.38,5.88,7.18,4.77,6.24,4.16,5.48,3.4,4.93,2.93,4.19,2.53,3.75,2.19,3.44,1.92,3.1,1.68,2.67,1.47,2.36,1.29,2.12,1.11,1.9,0.93,1.74,0.81,1.51,0.73,1.39,0.7,1.25,0.64,1.07,0.57,0.99,0.52,0.89,0.51,0.79,0.47,0.77,0.36,0.66,0.33,0.57,0.28,0.55,0.25,0.51,0.23,0.5,0.22,0.45
15m TTC,53.77,46.26,48.41,40.99,43.39,36.07,37.92,31.39,32.29,27.1,27.56,23.54,23.17,20.59,19.2,17.93,15.63,15.72,13.04,13.62,11.02,11.88,9.09,10.35,7.56,8.92,6.34,7.76,5.24,6.78,4.4,5.98,3.65,5.27,3.18,4.76,2.77,4.15,2.32,3.66,2.02,3.22,1.85,2.9,1.59,2.53,1.38,2.26,1.22,2.04,1.03,1.84,0.88,1.72,0.81,1.58,0.76,1.46,0.71,1.34,0.63,1.15,0.56,1.07,0.55,0.97,0.51,0.89,0.42,0.76,0.38,0.71,0.33,0.67,0.33,0.62,0.3,0.54,0.28,0.5
16m TTC,54.13,45.9,48.71,40.97,43.48,36.07,38.44,31.68,32.95,27.76,28.16,24.28,24.1,21.23,20.25,18.36,17.04,15.97,14.2,14.01,11.71,12.34,9.69,10.7,7.99,9.46,6.81,8.28,5.68,7.38,4.79,6.51,4.06,5.69,3.51,4.94,3.01,4.44,2.71,3.88,2.39,3.53,2.1,3.16,1.8,2.85,1.61,2.57,1.41,2.36,1.28,2.06,1.1,1.8,0.99,1.56,0.86,1.48,0.75,1.38,0.68,1.25,0.62,1.12,0.55,1.04,0.52,0.95,0.47,0.76,0.43,0.69,0.36,0.66,0.35,0.59,0.32,0.56,0.31,0.53
17m TTC,53.96,46.06,48.94,41.0,43.63,36.36,38.5,31.89,33.67,28.0,28.86,24.44,24.71,21.24,20.86,18.65,17.5,16.36,15.01,14.42,12.51,12.77,10.31,11.15,8.51,9.6,7.12,8.58,6.04,7.59,5.16,6.83,4.49,6.0,3.8,5.26,3.23,4.69,2.93,4.24,2.48,3.78,2.27,3.33,1.88,2.96,1.64,2.71,1.46,2.41,1.34,2.15,1.19,1.95,1.06,1.76,0.96,1.57,0.83,1.48,0.76,1.32,0.67,1.22,0.65,1.16,0.6,1.06,0.52,0.87,0.48,0.8,0.44,0.75,0.43,0.68,0.39,0.65,0.37,0.53
18m TTC,54.19,45.9,48.98,41.21,44.17,36.64,39.04,32.12,34.2,28.28,29.65,24.77,25.39,21.68,21.68,19.01,18.24,16.85,15.46,14.79,12.88,13.07,10.84,11.68,9.11,10.4,7.66,9.08,6.34,8.01,5.41,7.11,4.76,6.28,4.01,5.64,3.4,5.17,2.93,4.62,2.65,4.14,2.29,3.74,2.0,3.38,1.7,3.07,1.53,2.74,1.35,2.44,1.21,2.27,1.1,2.05,1.01,1.88,0.93,1.7,0.84,1.52,0.79,1.35,0.71,1.25,0.65,1.1,0.59,0.92,0.55,0.82,0.51,0.75,0.46,0.72,0.43,0.68,0.38,0.64
19m TTC,54.28,45.79,49.4,40.88,44.7,36.61,39.3,32.42,34.38,28.42,29.92,25.1,25.78,22.37,22.09,19.58,18.62,17.1,15.75,15.09,13.51,13.39,11.68,11.85,9.73,10.73,8.36,9.51,7.0,8.53,6.06,7.52,5.14,6.81,4.42,6.06,3.88,5.5,3.37,4.96,2.83,4.49,2.54,3.99,2.16,3.6,1.93,3.28,1.66,3.03,1.51,2.73,1.37,2.46,1.2,2.2,1.11,1.94,0.99,1.75,0.89,1.57,0.81,1.46,0.78,1.29,0.69,1.23,0.58,1.05,0.53,0.95,0.53,0.88,0.49,0.86,0.47,0.78,0.45,0.75
20m TTC,54.48,45.55,49.51,40.87,44.5,36.44,39.92,32.28,35.11,28.68,30.56,25.25,26.38,22.27,22.51,19.88,19.35,17.62,16.58,15.43,14.14,13.66,12.15,12.3,10.38,11.07,8.64,9.99,7.34,8.98,6.48,8.08,5.59,7.24,4.87,6.33,4.17,5.71,3.66,5.09,3.16,4.69,2.75,4.25,2.39,3.7,2.02,3.27,1.76,3.08,1.64,2.76,1.41,2.51,1.33,2.3,1.21,2.11,1.16,1.9,1.06,1.7,0.98,1.59,0.86,1.48,0.82,1.35,0.7,1.13,0.67,1.05,0.59,0.96,0.56,0.92,0.55,0.85,0.51,0.78
21m TTC,54.21,45.83,49.36,41.03,44.71,36.55,40.12,32.68,35.38,28.78,31.13,25.24,26.94,22.42,23.23,19.98,20.17,17.62,17.18,15.68,14.55,14.02,12.32,12.47,10.62,11.31,9.2,10.04,7.96,8.96,6.92,8.13,5.89,7.25,5.13,6.34,4.51,5.64,3.9,5.13,3.38,4.62,2.9,4.16,2.58,3.78,2.19,3.46,1.94,3.2,1.77,2.9,1.59,2.68,1.39,2.43,1.32,2.24,1.23,2.02,1.13,1.9,1.07,1.73,1.01,1.6,0.84,1.45,0.74,1.26,0.68,1.16,0.63,1.03,0.61,0.96,0.56,0.87,0.48,0.8
22m TTC,54.67,45.45,49.7,40.75,44.99,36.61,40.18,32.77,35.88,28.91,31.52,25.66,27.35,22.83,23.91,20.18,20.85,18.26,17.83,16.21,15.07,14.65,12.61,13.08,10.81,11.71,9.43,10.46,8.25,9.33,7.16,8.42,6.19,7.65,5.32,6.84,4.76,6.14,4.2,5.45,3.61,4.87,3.24,4.4,2.86,4.03,2.49,3.58,2.18,3.2,1.98,2.89,1.74,2.63,1.55,2.38,1.47,2.23,1.31,2.07,1.23,1.92,1.16,1.75,1.01,1.65,0.9,1.5,0.75,1.34,0.72,1.25,0.68,1.18,0.63,1.12,0.58,1.02,0.55,0.95
23m TTC,54.76,45.32,49.8,41.14,45.35,36.62,40.87,32.37,36.33,28.85,32.0,25.61,27.95,22.87,24.41,20.44,21.2,18.35,18.31,16.4,15.74,14.83,13.38,13.18,11.46,11.88,9.77,10.61,8.34,9.58,7.34,8.48,6.32,7.6,5.48,6.73,4.86,6.14,4.37,5.38,3.86,4.93,3.37,4.35,2.98,3.95,2.57,3.59,2.25,3.22,2.0,2.95,1.82,2.73,1.61,2.53,1.47,2.33,1.39,2.12,1.24,1.93,1.16,1.76,1.09,1.65,1.02,1.57,0.87,1.38,0.78,1.32,0.72,1.18,0.69,1.11,0.61,1.03,0.58,1.0
24m TTC,54.84,45.18,50.33,40.85,45.53,36.5,41.3,32.76,36.53,29.39,32.47,26.5,28.57,23.63,25.17,20.98,21.68,18.6,18.69,16.64,16.33,15.24,14.05,13.68,12.02,12.47,10.24,10.91,8.69,9.98,7.55,8.98,6.53,7.96,5.67,7.14,5.02,6.49,4.38,5.86,3.94,5.18,3.5,4.62,3.11,4.15,2.78,3.84,2.51,3.5,2.17,3.2,2.01,2.95,1.84,2.71,1.67,2.45,1.5,2.2,1.33,2.04,1.19,1.87,1.07,1.71,0.99,1.61,0.89,1.4,0.82,1.33,0.76,1.19,0.75,1.13,0.68,1.04,0.64,0.97
25m TTC,54.75,45.29,50.13,40.83,45.48,36.71,41.06,32.51,36.52,29.28,32.44,26.36,28.61,23.52,25.46,20.84,22.19,18.92,19.35,16.9,16.48,15.34,14.24,13.93,12.36,12.58,10.73,11.52,9.1,10.3,7.97,9.35,6.94,8.29,6.08,7.24,5.27,6.74,4.63,6.18,4.06,5.6,3.64,5.01,3.2,4.58,2.85,4.13,2.59,3.81,2.39,3.46,2.07,3.15,1.88,2.88,1.77,2.63,1.54,2.46,1.46,2.19,1.31,2.02,1.19,1.87,1.06,1.71,0.95,1.53,0.84,1.41,0.79,1.3,0.73,1.15,0.67,1.09,0.63,0.99
26m TTC,54.63,45.42,50.06,41.1,45.62,36.84,40.92,33.23,36.68,29.84,32.69,26.98,29.31,23.91,25.61,21.28,22.38,19.18,19.52,17.59,16.89,15.96,14.44,14.43,12.5,12.93,11.11,11.87,9.46,10.65,8.31,9.49,7.1,8.57,6.09,7.69,5.42,6.94,4.91,6.25,4.34,5.6,3.89,5.17,3.42,4.69,3.04,4.37,2.65,3.97,2.36,3.75,2.17,3.38,2.05,3.17,1.91,2.92,1.75,2.67,1.56,2.47,1.41,2.22,1.28,2.04,1.2,1.96,0.99,1.61,0.9,1.48,0.81,1.36,0.78,1.29,0.71,1.17,0.67,1.12
