,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,49.75,50.9,16.53,17.41,5.77,5.79,2.29,2.18,1.05,0.92,0.55,0.42,0.3,0.22,0.18,0.12,0.11,0.07,0.08,0.05,0.05,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,49.57,50.81,23.03,24.48,10.41,10.96,5.12,5.13,2.69,2.6,1.55,1.44,0.92,0.8,0.62,0.51,0.44,0.3,0.3,0.2,0.21,0.13,0.15,0.1,0.1,0.07,0.08,0.06,0.06,0.04,0.05,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,49.29,51.0,26.92,28.6,14.07,14.73,7.67,7.72,4.33,4.26,2.66,2.53,1.7,1.56,1.15,1.0,0.82,0.66,0.58,0.45,0.42,0.33,0.31,0.25,0.23,0.19,0.18,0.13,0.14,0.1,0.11,0.08,0.08,0.06,0.07,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,49.25,50.96,29.49,31.09,16.76,17.54,9.78,9.88,5.91,5.81,3.78,3.65,2.5,2.32,1.73,1.54,1.22,1.05,0.89,0.75,0.65,0.55,0.47,0.42,0.36,0.31,0.28,0.24,0.23,0.19,0.17,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5m TTC,49.3,50.9,31.45,32.88,19.03,19.74,11.6,11.72,7.37,7.1,4.8,4.52,3.22,3.04,2.27,2.09,1.63,1.43,1.21,1.05,0.92,0.77,0.69,0.57,0.54,0.44,0.42,0.35,0.34,0.29,0.26,0.22,0.2,0.19,0.18,0.15,0.15,0.12,0.13,0.1,0.11,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01
6m TTC,49.1,51.07,32.68,34.45,20.79,21.7,13.31,13.4,8.64,8.55,5.8,5.61,4.06,3.81,2.9,2.66,2.1,1.85,1.57,1.35,1.2,1.03,0.91,0.77,0.7,0.61,0.55,0.48,0.44,0.38,0.36,0.3,0.3,0.24,0.25,0.21,0.22,0.17,0.18,0.14,0.15,0.12,0.13,0.1,0.11,0.09,0.1,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
7m TTC,48.97,51.22,33.8,35.64,22.34,23.58,14.7,15.25,9.82,9.95,6.83,6.68,4.74,4.56,3.47,3.23,2.6,2.37,1.95,1.76,1.49,1.33,1.17,1.01,0.92,0.79,0.71,0.61,0.56,0.48,0.45,0.39,0.37,0.32,0.31,0.27,0.26,0.23,0.22,0.18,0.18,0.16,0.16,0.14,0.15,0.12,0.13,0.11,0.11,0.1,0.1,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02
8m TTC,48.96,51.2,34.67,36.66,23.73,24.82,15.95,16.4,10.9,10.98,7.56,7.48,5.42,5.28,4.0,3.74,2.99,2.78,2.33,2.12,1.8,1.6,1.38,1.23,1.11,0.97,0.9,0.76,0.74,0.6,0.6,0.49,0.48,0.4,0.4,0.34,0.34,0.28,0.28,0.23,0.23,0.2,0.2,0.18,0.16,0.16,0.15,0.13,0.13,0.12,0.12,0.11,0.11,0.09,0.1,0.09,0.09,0.08,0.07,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02
9m TTC,48.97,51.18,35.39,37.28,24.75,25.92,17.19,17.58,11.89,12.11,8.4,8.38,6.12,5.91,4.45,4.28,3.39,3.12,2.65,2.38,2.13,1.83,1.64,1.45,1.33,1.14,1.07,0.91,0.87,0.75,0.71,0.59,0.58,0.5,0.49,0.42,0.42,0.35,0.34,0.29,0.29,0.24,0.24,0.21,0.21,0.18,0.18,0.16,0.16,0.14,0.14,0.12,0.12,0.1,0.11,0.1,0.1,0.08,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03
10m TTC,49.02,51.1,36.02,37.91,25.63,26.86,18.12,18.52,12.77,12.93,9.18,9.16,6.67,6.6,4.95,4.85,3.79,3.63,2.97,2.77,2.33,2.17,1.84,1.7,1.5,1.36,1.25,1.07,1.02,0.86,0.83,0.72,0.7,0.59,0.59,0.5,0.49,0.42,0.41,0.34,0.35,0.29,0.3,0.25,0.26,0.21,0.21,0.18,0.18,0.16,0.16,0.14,0.14,0.13,0.13,0.11,0.11,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.06,0.04,0.05,0.04,0.05,0.03,0.04,0.03
