,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,2.91,1.92,0.39,0.15,0.09,0.02,0.04,0.0,0.02,0.0
2m TTC,6.42,5.04,1.18,0.6,0.33,0.14,0.13,0.04,0.06,0.01
3m TTC,8.98,7.89,2.07,1.19,0.61,0.26,0.25,0.08,0.1,0.02
4m TTC,11.14,10.5,2.85,1.93,0.92,0.54,0.36,0.19,0.14,0.08
5m TTC,12.64,12.88,3.81,2.74,1.43,0.88,0.54,0.38,0.24,0.2
6m TTC,14.25,15.32,4.63,3.73,1.92,1.19,0.85,0.45,0.39,0.2
7m TTC,15.14,16.62,5.38,4.61,2.19,1.37,0.97,0.64,0.44,0.3
8m TTC,16.61,17.78,6.19,5.31,2.49,1.92,1.19,0.82,0.6,0.43
9m TTC,17.95,19.07,6.68,6.24,2.88,2.12,1.24,0.94,0.66,0.42
10m TTC,18.76,20.09,7.6,6.79,3.41,2.41,1.55,1.07,0.76,0.53
11m TTC,19.68,21.27,8.24,7.66,3.64,2.8,1.81,1.25,0.93,0.58
12m TTC,20.24,22.46,8.58,8.14,4.03,3.06,1.96,1.39,1.03,0.67
13m TTC,20.98,22.89,8.97,8.68,4.26,3.44,2.11,1.62,1.19,0.71
14m TTC,21.75,23.54,9.48,9.24,4.54,3.74,2.33,1.8,1.25,0.84
15m TTC,22.45,24.1,9.98,9.67,4.91,4.3,2.49,2.02,1.42,0.96
